Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2024,FixedOpex2024,VarOpex2024,Opex2024,Externalities2024,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
BAU,0,,SOIALL,,2021,,1.09986,1.09986,1.09986,1.09986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2022,,,1.09986,1.09986,1.09986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2023,,,1.09986,1.09986,1.09001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2024,,,1.09986,1.09986,1.09133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2025,,,1.09986,1.09986,1.09002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2026,,,1.09986,1.09986,1.0938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2027,,,1.09986,1.09986,1.09263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2028,,,1.09986,1.09986,1.09303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2029,,,1.09986,1.09986,1.09202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2030,,,1.09986,1.09986,1.09986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2031,,,1.09986,1.09986,1.09986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2032,,,1.09986,1.09986,1.09986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2033,,,1.09986,1.09986,1.09319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2034,,,1.09986,1.09986,1.0937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2035,,,1.09986,1.09986,1.09986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2036,,,1.09986,1.09986,1.09383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2037,,,1.09986,1.09986,1.09317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2038,,,1.09986,1.09986,1.09263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2039,,,1.09986,1.09986,1.09405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2040,,,1.09986,1.09986,1.09349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2041,,,1.09986,1.09986,1.09324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2042,,,1.09986,1.09986,1.09298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2043,,,1.09986,1.09986,1.09419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2044,,,1.09986,1.09986,1.09986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2045,,,1.09986,1.09986,1.09416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2046,,,1.09986,1.09986,1.09401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2047,,,1.09986,1.09986,1.09273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2048,,,1.09986,1.09986,1.09253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAU,0,,SOIALL,,2049,,,1.09986,1.09986,1.09255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
